Year	Quarter	NW	SW
1981	1	1	0
1981	3	0.814126394052045	0.185873605947955
1981	4	1	0
1982	1	1	0
1982	2	1	0
1982	3	1	0
1982	4	1	0
1983	1	1	0
1983	2	1	0
1983	3	1	0
1983	4	1	0
1984	1	1	0
1984	2	0.872851497797276	0.127148502202724
1984	3	1	0
1984	4	0.990893128321944	0.00910687167805619
1985	1	0.971584085008358	0.028415914991642
1985	2	0.628122957812301	0.371877042187699
1985	3	1	0
1985	4	1	0
1986	1	0.83424246951675	0.16575753048325
1986	2	0.209683996540317	0.790316003459683
1986	3	0.999023394747211	0.000976605252789218
1986	4	1	0
1987	1	0.84921290582079	0.15078709417921
1987	2	0.428728999244414	0.571271000755586
1987	3	1	0
1987	4	0.999416900431809	0.000583099568191131
1988	1	0.998772970549062	0.00122702945093779
1988	2	0.749228695949853	0.250771304050147
1988	3	0.999653018875693	0.000346981124306787
1988	4	1	0
1989	1	1	0
1989	2	0.708665441164198	0.291334558835802
1989	3	1	0
1989	4	0.97816850584346	0.0218314941565396
1990	1	0.764662429890129	0.235337570109871
1990	2	0.337737319850392	0.662262680149608
1990	3	1	0
1990	4	0.947415790582333	0.0525842094176672
1991	1	0.852581824136725	0.147418175863275
1991	2	0.816775408623125	0.183224591376875
1991	3	1	0
1991	4	0.999621756273497	0.000378243726503041
1992	1	0.811414518241848	0.188585481758152
1992	2	0.584122450329523	0.415877549670476
1992	3	0.999083683880116	0.0009163161198842
1992	4	0.997280647624227	0.00271935237577266
1993	1	0.965486992442703	0.0345130075572967
1993	2	0.581009612199965	0.418990387800034
1993	3	1	0
1993	4	1	0
1994	1	0.594217783939561	0.405782216060439
1994	2	0.397552342403849	0.602447657596151
1994	3	1	0
1994	4	0.997082157810563	0.00291784218943737
1995	1	0.958898999502524	0.0411010004974756
1995	2	0.633771584654056	0.366228415345944
1995	3	1	0
1995	4	0.992523673707669	0.00747632629233072
1996	1	0.673450936184791	0.326549063815209
1996	2	0.499145679457049	0.500854320542951
1996	3	1	0
1996	4	1	0
1997	1	0.815725347182311	0.184274652817689
1997	2	0.400490265684574	0.599509734315426
1997	3	0.999650706068103	0.000349293931897246
1997	4	0.993832267245168	0.00616773275483227
1998	1	0.358413476837815	0.641586523162185
1998	2	0.461825251696821	0.538174748303179
1998	3	0.999790796645048	0.000209203354951566
1998	4	0.98136182617378	0.0186381738262197
1999	1	0.533650141422551	0.466349858577449
1999	2	0.684661681288124	0.315338318711876
1999	3	0.998185701906641	0.00181429809335929
1999	4	1	0
2000	1	0.780385403339116	0.219614596660884
2000	2	0.816370952824054	0.183629047175946
2000	3	0.999921617433116	7.83825668843752e-05
2000	4	1	0
2001	1	0.800544568098841	0.199455431901159
2001	2	0.568634928195411	0.431365071804589
2001	3	1	0
2001	4	1	0
2002	1	0.886681910523841	0.113318089476159
2002	2	0.799482625116927	0.200517374883073
2002	3	0.999405804968553	0.000594195031446782
2002	4	1	0
2003	1	0.967640189421702	0.0323598105782979
2003	2	0.966974220800608	0.0330257791993915
2003	3	1	0
2003	4	1	0
2004	1	0.995840027120432	0.00415997287956833
2004	2	0.945906104236989	0.0540938957630111
2004	3	0.985786961119999	0.0142130388800006
2004	4	1	0
2005	1	0.97773501156885	0.0222649884311499
2005	2	0.540378282032825	0.459621717967175
2005	3	1	0
2005	4	1	0
2006	1	0.961889424981595	0.0381105750184045
2006	2	0.687867335125518	0.312132664874482
2006	3	1	0
2006	4	0.998718831087883	0.00128116891211684
2007	1	0.821920120622644	0.178079879377356
2007	2	0.478928441422213	0.521071558577787
2007	3	1	0
2007	4	0.999807859082813	0.000192140917187265
2008	1	0.815690673380569	0.184309326619431
2008	2	0.357832404528574	0.642167595471426
2008	3	0.999464385860409	0.00053561413959096
2008	4	1	0
2009	1	0.557293820349467	0.442706179650533
2009	2	0.461094836462175	0.538905163537825
2009	3	0.999925597723244	7.44022767557383e-05
2009	4	0.985329615593608	0.0146703844063924
2010	1	0.867858002141794	0.132141997858206
2010	2	0.515903986167689	0.484096013832311
2010	3	0.999501482215086	0.000498517784913751
2010	4	0.948813634331076	0.051186365668924
2011	1	0.848980849134118	0.151019150865882
2011	2	0.395517627365691	0.604482372634309
2011	3	0.999926422301715	7.35776982852151e-05
2011	4	0.999876897346183	0.000123102653817297
2012	1	0.657692554739858	0.342307445260142
2012	2	0.761738558811599	0.238261441188401
2012	3	0.997082417568066	0.00291758243193396
2012	4	0.986468567032032	0.0135314329679681
2013	1	0.689827553613813	0.310172446386188
2013	2	0.771483614529684	0.228516385470316
2013	3	0.999752597328726	0.000247402671274438
2013	4	0.999108757316331	0.000891242683668835
2014	1	0.985245181245065	0.0147548187549347
2014	2	0.988683719669674	0.0113162803303255
2014	3	0.999785964458322	0.000214035541678315
2014	4	1	0
