recdev_year	value	mean	sd
1985	-0.5021785	0	0.6
1986	0.358623	0	0.6
1987	-0.06064945	0	0.6
1988	-0.5419905	0	0.6
1989	-0.3041095	0	0.6
1990	0.1254815	0	0.6
1991	-0.593382	0	0.6
1992	-0.081761	0	0.6
1993	0.13798	0	0.6
1994	-0.0717031	0	0.6
1995	0.5338705	0	0.6
1996	0.4269935	0	0.6
1997	0.2133405	0	0.6
1998	0.490589	0	0.6
1999	0.0418474	0	0.6
2000	0.2980545	0	0.6
2001	0.3821805	0	0.6
2002	-0.0309922	0	0.6
2003	0.7604215	0	0.6
2004	0.9600815	0	0.6
2005	-1.053025	0	0.6
2006	-0.647239	0	0.6
2007	0.548911	0	0.6
2008	0.4419105	0	0.6
2009	0.0955421	0	0.6
2010	-0.5336245	0	0.6
2011	-0.5021785	0	0.6
2012	0.358623	0	0.6
